RuleID,Atom_id,Negated,Model,Dataset,Fold_number,fold_id
GR137,RVA8350,true,Model2,Data1,1,Fold1
GR138,RVA10352,true,Model2,Data1,1,Fold1
GR139,RVA10435,true,Model2,Data1,1,Fold1
GR140,RVA10426,true,Model2,Data1,1,Fold1
GR141,RVA10423,true,Model2,Data1,1,Fold1
GR141,RVA5710,true,Model2,Data1,1,Fold1
GR142,RVA10427,true,Model2,Data1,1,Fold1
GR143,RVA10468,true,Model2,Data1,1,Fold1
GR144,RVA10465,true,Model2,Data1,1,Fold1
GR145,RVA10421,true,Model2,Data1,1,Fold1
GR146,RVA10465,true,Model2,Data1,1,Fold1
GR147,RVA10466,true,Model2,Data1,1,Fold1
GR147,RVA778,true,Model2,Data1,1,Fold1
GR148,RVA10422,true,Model2,Data1,1,Fold1
GR148,RVA778,true,Model2,Data1,1,Fold1
GR149,RVA10473,true,Model2,Data1,1,Fold1
GR149,RVA8350,true,Model2,Data1,1,Fold1
GR150,RVA10490,true,Model2,Data1,1,Fold1
GR151,RVA10492,true,Model2,Data1,1,Fold1
GR152,RVA10491,true,Model2,Data1,1,Fold1
GR152,RVA9557,true,Model2,Data1,1,Fold1
GR153,RVA10499,true,Model2,Data1,1,Fold1
GR154,RVA10486,true,Model2,Data1,1,Fold1
GR154,RVA724,true,Model2,Data1,1,Fold1
GR155,RVA10489,true,Model2,Data1,1,Fold1
GR156,RVA10499,true,Model2,Data1,1,Fold1
GR157,RVA10581,true,Model2,Data1,1,Fold1
GR158,RVA10578,true,Model2,Data1,1,Fold1
GR159,RVA10499,true,Model2,Data1,1,Fold1
GR160,RVA10577,true,Model2,Data1,1,Fold1
GR160,RVA778,true,Model2,Data1,1,Fold1
GR161,RVA10608,true,Model2,Data1,1,Fold1
GR162,RVA10584,true,Model2,Data1,1,Fold1
GR163,RVA10644,true,Model2,Data1,1,Fold1
GR164,RVA10593,true,Model2,Data1,1,Fold1
GR164,RVA9560,true,Model2,Data1,1,Fold1
GR165,RVA10644,true,Model2,Data1,1,Fold1
GR166,RVA10644,true,Model2,Data1,1,Fold1
GR167,RVA10607,true,Model2,Data1,1,Fold1
GR168,RVA10618,true,Model2,Data1,1,Fold1
GR169,RVA10616,true,Model2,Data1,1,Fold1
GR170,RVA10350,true,Model2,Data1,1,Fold1
